id,Currency_unit
0,Afghan afghani
2,Albanian lek
3,Algerian dinar
4,U.S. dollar
5,Euro
6,Angolan kwanza
7,East Caribbean dollar
8,Argentine peso
9,Armenian dram
10,Aruban florin
11,Australian dollar
12,New Azeri manat
13,Bahraini dinar
14,Bangladeshi taka
15,Barbados dollar
16,Belarusian rubel
17,Belize dollar
18,CFA franc
19,Bermuda dollar
20,Bhutanese ngultrum
21,Bolivian Boliviano
22,Bosnia and Herzegovina convertible mark
23,Botswana pula
24,Brazilian real
25,Brunei dollar
26,Bulgarian lev
27,Burundi franc
28,Cambodian riel
29,Canadian dollar
30,Cayman Islands dollar
31,Chilean peso
32,Chinese yuan
33,Colombian peso
34,Comorian franc
35,Costa Rican colon
36,Croatian kuna
37,Cuban peso
38,Danish krone
39,Djibouti franc
40,Dominican peso
41,Egyptian pound
42,Eritrean nakfa
43,Ethiopian birr
44,Fijian dollar
45,CFP franc
46,Georgian lari
47,New Ghanaian cedi
48,Gibraltar pound
49,Guatemalan quetzal
50,Guinean franc
51,Guyana dollar
52,Haitian gourde
53,Honduran lempira
54,Hungarian forint
55,Iceland krona
56,Indian rupee
57,Indonesian rupiah
58,Iranian rial
59,Iraqi dinar
60,Israeli new shekel
61,Jamaican dollar
62,Japanese yen
63,Jordanian dinar
64,Kazakh tenge
65,Kenyan shilling
66,Kuwaiti dinar
67,Latvian lats
68,Lebanese pound
69,Lesotho loti
70,Liberian dollar
71,Libyan dinar
72,Swiss franc
73,Lithuanian litas
74,Malagasy ariary
75,Malawi kwacha
76,Malaysian ringgit
77,Maldivian rufiyaa
78,Mauritanian ouguiya
79,Mauritian rupee
80,Mexican peso
81,Moldovan leu
82,Mongolian tugrik
83,Moroccan dirham
84,New Mozambican metical
85,Myanmar kyat
86,Namibian dollar
87,Nepalese rupee
88,New Zealand dollar
89,Nicaraguan gold cordoba
90,Nigerian naira
91,Norwegian krone
92,Rial Omani
93,Pakistani rupee
94,Panamanian balboa
95,Papua New Guinea kina
96,Paraguayan guarani
97,Peruvian new sol
98,Philippine peso
99,Polish zloty
100,Qatari riyal
101,New Romanian leu
102,Russian ruble
103,Rwandan franc
104,Samoan tala
105,Saudi Arabian riyal
106,New Serbian dinar
107,Seychelles rupee
108,Sierra Leonean leone
109,Singapore dollar
110,Netherlands Antilles guilder
111,Solomon Islands dollar
112,Somali shilling
113,South African rand
114,South Sudanese Pound
115,Sri Lankan rupee
116,Sudanese pound
117,Suriname dollar
118,Swedish krona
119,Tajik somoni
120,Tanzanian shilling
121,Thai baht
122,Tongan pa'anga
123,Trinidad and Tobago dollar
124,Tunisian dinar
125,New Turkish lira
126,New Turkmen manat
127,Ugandan shilling
128,Ukrainian hryvnia
129,U.A.E. dirham
130,Pound sterling
131,Uruguayan peso
132,Uzbek sum
133,Vanuatu vatu
134,Venezuelan bolivar fuerte
135,Vietnamese dong
136,Yemeni rial
137,New Zambian kwacha
138,Bahamian dollar
139,Congolese franc
140,Cabo Verde escudo
141,Czech koruna
142,Gambian dalasi
143,Hong Kong dollar
144,Kyrgyz som
145,Korean won
146,Lao kip
147,Macao pataca
148,Macedonian denar
149,Democratic People's Republic of Korean won
150,São Tomé and Principe dobra
151,Swaziland lilangeni
152,Syrian pound
