id,Year,Century
0,1960,19
1,1965,19
2,1970,19
3,1975,19
4,1976,19
5,1977,19
6,1978,19
7,1979,19
8,1980,19
9,1981,19
10,1982,19
11,1983,19
12,1984,19
13,1985,19
14,1986,19
15,1987,19
16,1988,19
17,1989,19
18,1990,19
19,1991,19
20,1992,19
21,1993,19
22,1994,19
23,1995,19
24,1996,19
25,1997,19
26,1998,19
27,1999,19
28,2000,20
29,2001,20
30,2002,20
31,2003,20
32,2004,20
33,2005,20
34,2006,20
35,2007,20
36,2008,20
37,2009,20
38,2010,20
39,2011,20
40,2012,20
41,2013,20
42,2014,20
43,2015,20
44,2016,20
45,2017,20
46,2018,20
47,2019,20
